No. edges,Dist. A,Err. A,Dist. LA,Err. LA,Dist. NLA,Err. NLA,S,Err. S,Sim.
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,11.012,2.675,0.976,0.163,0.174,0.12,0.056,0.003,0.947
122,13.358,4.197,1.386,0.205,0.337,0.139,0.08,0.003,0.926
121,13.603,3.829,1.881,0.337,0.445,0.189,0.098,0.005,0.911
120,14.095,4.039,2.318,0.441,0.583,0.187,0.115,0.008,0.897
119,13.916,3.311,2.627,0.449,0.645,0.231,0.128,0.007,0.887
118,14.664,3.429,3.021,0.441,0.801,0.238,0.14,0.007,0.877
117,15.43,3.958,3.424,0.578,0.894,0.216,0.152,0.009,0.868
116,15.378,3.792,3.744,0.565,1.032,0.28,0.163,0.01,0.86
115,15.373,3.705,4.135,0.525,1.119,0.24,0.174,0.01,0.852
114,15.128,3.543,4.517,0.498,1.26,0.275,0.184,0.011,0.845
113,16.034,3.941,4.846,0.573,1.336,0.28,0.194,0.012,0.838
112,16.22,3.981,5.175,0.579,1.454,0.268,0.203,0.012,0.831
111,16.302,4.295,5.529,0.597,1.476,0.286,0.211,0.012,0.826
110,16.816,3.737,6.0,0.662,1.651,0.298,0.222,0.015,0.818
109,15.288,3.297,6.295,0.641,1.745,0.303,0.231,0.018,0.812
108,16.813,4.267,6.736,0.598,1.892,0.303,0.237,0.015,0.808
107,16.391,4.048,6.961,0.668,2.0,0.297,0.246,0.016,0.803
